sigun_nm,str_nm,bizregno,refine_road_nm_addr,refine_lotno_addr,indutype_cont,refine_zipno,refine_wgs84_lat,refine_wgs84_logt
수원시,프랭크버거 수원망포역점,3860202959,경기도 수원시 영통구 덕영대로 1535,"경기도 수원시 영통구 영통동 976-7번지 현대프라자 107,108호 프랭크버거 수원망포역점","프랜차이즈,피자·양식,픽업",16698,37.2462824,127.058838
수원시,호두당수원세류점,5831202466,경기도 수원시 권선구 세지로 74,경기도 수원시 권선구 권선동 999-4번지 1층,"카페,프랜차이즈",16564,37.258399,127.0177072
수원시,도리분식&정우의도시락,7970302909,경기도 수원시 팔달구 월드컵로357번길 23-4,경기도 수원시 팔달구 우만동 483번지 1층 정우의도시락,"찜·탕,프랜차이즈,픽업,한식",16234,37.2886007,127.0301612
수원시,깐부치킨(광교도청역점),3330303378,경기도 수원시 영통구 도청로89번길 43,경기도 수원시 영통구 이의동 1347-3번지 에듀프라자 101호,"치킨,프랜차이즈",16509,37.2891539,127.0472271
수원시,혼참치,4170989263,경기도 수원시 권선구 권중로76번길 9,경기도 수원시 권선구 권선동 1262번지 205호 혼참치,일식·돈까스,16556,37.2521719,127.029305
수원시,귀한족발 망포역점,7442600565,경기도 수원시 영통구 영통로214번길 41,경기도 수원시 영통구 영통동 974-1번지 토야플라자 1층 102호,"족발·보쌈,프랜차이즈,픽업",16698,37.2467084,127.0594895
수원시,열정국밥 영통점,5563301500,경기도 수원시 영통구 영일로 3,경기도 수원시 영통구 영통동 991-12번지 104호 열정국밥 영통점,"족발·보쌈,픽업",16702,37.248083,127.0755041
수원시,"전주콩나물국밥,왕떡갈비(수원금곡점)",3992101807,경기도 수원시 권선구 금호로 83-5,경기도 수원시 권선구 금곡동 1140-5번지 1층,"프랜차이즈,한식",16393,37.2714694,126.9593448
수원시,상하이,2281901948,경기도 수원시 권선구 입북로 33-1,경기도 수원시 권선구 입북동 412-6번지 상하이,중식,16367,37.2947612,126.9593136
수원시,포메인 영통점,8190303173,경기도 수원시 영통구 봉영로 1613,"경기도 수원시 영통구 영통동 958-3번지 영통하우스토리 107,108호","아시안,프랜차이즈",16703,37.2551172,127.0739311
