sigun_nm,faclt_no,play_si_desc,instl_ymd,instl_plc,publ_prvate_div_nm,inoutdr_div_nm,refine_zipno,refine_road_nm_addr,refine_lotno_addr,refine_wgs84_lat,refine_wgs84_logt
안산시,40145,해아뜰어린이집 놀이터,20100105,어린이집,민간,실외,15632,경기도 안산시 상록구 선진로 63,경기도 안산시 상록구 사동 1475-6번지,37.2779559304,126.8493635594
안산시,532365,사2동 본오2차 203동앞[와글와글놀이터],19940818,주택단지,민간,실외,15631,,경기도 안산시 상록구 사동 1505번지 본오2차아파트,37.2811881305,126.8536110298
안산시,17895,안산본오1차ⓐ102동 뒤,20140601,주택단지,민간,실외,15631,,경기도 안산시 상록구 사동 1506번지 본오1차아파트,37.279164377,126.8527597646
안산시,17896,안산본오1차ⓐ106동 뒤,20120101,주택단지,민간,실외,15631,,경기도 안산시 상록구 사동 1506번지 본오1차아파트,37.279164377,126.8527597646
안산시,1002653,안산호수공원가족친수놀이터,20240813,도시공원,공공,실외,15592,경기도 안산시 상록구 광덕대로 47,경기도 안산시 상록구 사동 1509번지 안산호수공원,37.3022668962,126.8253345013
안산시,532946,7차푸르지오 702동 앞 [환상나라놀이터],20030602,주택단지,민간,실외,15593,,경기도 안산시 상록구 사동 1510번지 안산고잔7차푸르지오,37.2957305991,126.8188151198
안산시,532947,7차푸르지오 713동 옆 [탐구나라놀이터],20030602,주택단지,민간,실외,15593,,경기도 안산시 상록구 사동 1510번지 안산고잔7차푸르지오,37.2957305991,126.8188151198
안산시,532944,7차푸르지오 710동 앞 [바다나라놀이터],20030602,주택단지,민간,실외,15593,,경기도 안산시 상록구 사동 1510번지 안산고잔7차푸르지오,37.2957305991,126.8188151198
안산시,532945,7차푸르지오 712동 앞 [정글나라놀이터],20030602,주택단지,민간,실외,15593,,경기도 안산시 상록구 사동 1510번지 안산고잔7차푸르지오,37.2957305991,126.8188151198
안산시,532948,7차푸르지오 관리동옆 [숲속나라놀이터],20030602,주택단지,민간,실외,15593,,경기도 안산시 상록구 사동 1510번지 안산고잔7차푸르지오,37.2957305991,126.8188151198
안산시,532394,안산푸르지오9차 905동앞[빛내림 놀이터],20070920,주택단지,민간,실외,15595,,경기도 안산시 상록구 사동 1511번지 안산고잔9차푸르지오,37.2936267221,126.8213161957
안산시,532391,안산푸르지오9차 910동앞[빛오름놀이터],20070920,주택단지,민간,실외,15595,,경기도 안산시 상록구 사동 1511번지 안산고잔9차푸르지오,37.2936267221,126.8213161957
안산시,549669,고잔푸르지오6차 보육시설 어린이놀이터,20141218,주택단지,민간,실외,15594,,경기도 안산시 상록구 사동 1512번지 안산고잔6차푸르지오,37.2942264105,126.8253047736
안산시,17968,고잔푸르지오6차 606동앞,20050721,주택단지,민간,실외,15594,,경기도 안산시 상록구 사동 1512번지 안산고잔6차푸르지오,37.2942264105,126.8253047736
안산시,17965,고잔푸르지오6차 601동뒤,20050721,주택단지,민간,실외,15594,,경기도 안산시 상록구 사동 1512번지 안산고잔6차푸르지오,37.2942264105,126.8253047736
안산시,17966,고잔푸르지오6차 613동뒤,20120101,주택단지,민간,실외,15594,,경기도 안산시 상록구 사동 1512번지 안산고잔6차푸르지오,37.2942264105,126.8253047736
안산시,17967,고잔푸르지오6차 605동뒤,20050721,주택단지,민간,실외,15594,,경기도 안산시 상록구 사동 1512번지 안산고잔6차푸르지오,37.2942264105,126.8253047736
안산시,17969,고잔푸르지오6차 621동좌옆,20050721,주택단지,민간,실외,15594,,경기도 안산시 상록구 사동 1512번지 안산고잔6차푸르지오,37.2942264105,126.8253047736
안산시,23365,상록마을 삼보아파트 [상록놀이터],20080618,주택단지,민간,실외,15498,,경기도 안산시 상록구 사동 1514번지 상록마을아파트,37.3056705778,126.8423205222
안산시,27598,천문어린이공원,20100427,도시공원,공공,실외,15497,,경기도 안산시 상록구 사동 1522번지,37.3058849029,126.8457573074
안산시,3185,푸른마을주공2단지아파트 놀이터,20101110,주택단지,민간,실외,15500,,경기도 안산시 상록구 사동 1532번지 푸른마을주공2단지아파트,37.3051528387,126.8497612102
안산시,17941,늘푸른아파트 정문입구 옆,20120101,주택단지,민간,실외,15500,,경기도 안산시 상록구 사동 1533번지 늘푸른아파트,37.3059792005,126.8525187139
안산시,17940,늘푸른아파트 109동 옆,19991119,주택단지,민간,실외,15500,,경기도 안산시 상록구 사동 1533번지 늘푸른아파트,37.3059792005,126.8525187139
안산시,25039,용하운동장 내 어린이놀이터,20101005,도시공원,공공,실외,15501,,경기도 안산시 상록구 사동 1535-2,37.3048837409,126.8547866975
안산시,561061,어울림공원(2구역) 어린이놀이시설,20170730,도시공원,공공,실외,15502,경기도 안산시 상록구 광덕4로 460,경기도 안산시 상록구 사동 1536번지,37.3031100793,126.8569778211
안산시,17875,사동 푸른마을5단지 유치원앞,20000515,주택단지,민간,실외,15502,,경기도 안산시 상록구 사동 1536번지 푸른마을5단지,37.3039916753,126.8566543662
안산시,17877,사동 푸른마을5단지 504동뒤,20120101,주택단지,민간,실외,15502,,경기도 안산시 상록구 사동 1536번지 푸른마을5단지,37.3039916753,126.8566543662
안산시,17878,사동 푸른마을5단지 관리소옆,20120101,주택단지,민간,실외,15502,,경기도 안산시 상록구 사동 1536번지 푸른마을5단지,37.3039916753,126.8566543662
안산시,17876,사동 푸른마을5단지 512동옆,20120101,주택단지,민간,실외,15502,,경기도 안산시 상록구 사동 1536번지 푸른마을5단지,37.3039916753,126.8566543662
안산시,537989,사동 푸른마을5단지 유치원옆[제비놀이터],20000515,주택단지,민간,실외,15502,,경기도 안산시 상록구 사동 1536번지 푸른마을주공5단지아파트,37.3039916753,126.8566543662
안산시,197,푸른마을 4단지아파트 404동 어린이놀이터,20081016,주택단지,민간,실외,15503,,경기도 안산시 상록구 사동 1537번지 푸른마을주공4단지아파트,37.3037101052,126.8513082325
안산시,198,푸른마을 4단지아파트 405동 어린이놀이터,20081016,주택단지,민간,실외,15503,,경기도 안산시 상록구 사동 1537번지 푸른마을주공4단지아파트,37.3037101052,126.8513082325
안산시,355,안산 사동 푸른마을 3단지 303동옆 푸른마을 놀이터,20081121,주택단지,민간,실외,15503,,경기도 안산시 상록구 사동 1538-1번지 푸른마을주공3단지아파트,37.3041862362,126.8493745969
