시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자,학교급
초등학교,서해초등학교,경기도 시흥시 정왕대로53번길 14(정왕동),경기도 시흥시 정왕동 1867-2,37.35612228,126.725131,경기도 시흥시청,시흥경찰서,Y,2,12,2026-04-01,초등학교
초등학교,송운초등학교,경기도 시흥시 옥구천동로 433-25(정왕동),경기도 시흥시 정왕동 1875-3,37.36014159,126.7301462,경기도 시흥시청,시흥경찰서,Y,7,12,2026-04-01,초등학교
초등학교,냉정초등학교,경기도 시흥시 역전로 369(정왕동),경기도 시흥시 정왕동 1872-3,37.35779586,126.7351708,경기도 시흥시청,시흥경찰서,Y,5,12,2026-04-01,초등학교
초등학교,함현초등학교,경기도 시흥시 역전로 455(정왕동),경기도 시흥시 정왕동 1878-10,37.36530183,126.7377382,경기도 시흥시청,시흥경찰서,Y,4,12,2026-04-01,초등학교
초등학교,시화초등학교,경기도 시흥시 큰솔로7번길 10(정왕동),경기도 시흥시 정왕동 1418-2,37.33929532,126.7514768,경기도 시흥시청,시흥경찰서,Y,3,6,2026-04-01,초등학교
유치원,궁전유치원,경기도 시흥시 정왕천로411번길 51(정왕동),경기도 시흥시 정왕동 1207,37.3470311,126.7471769,경기도 시흥시청,시흥경찰서,Y,1,8,2026-04-01,
유치원,보람유치원,경기도 시흥시 정왕천로408번길 19(정왕동),경기도 시흥시 정왕동 1518,37.3433344,126.7534243,경기도 시흥시청,시흥경찰서,Y,2,6,2026-04-01,
유치원,다원유치원,경기도 시흥시 정왕천로375번길 19(정왕동),경기도 시흥시 정왕동 1569-9,37.34263534,126.7476017,경기도 시흥시청,시흥경찰서,Y,1,6,2026-04-01,
유치원,시화리라유치원,경기도 시흥시 정왕천로427번길 13(정왕동),경기도 시흥시 정왕동 1179-1,37.34603613,126.7520099,경기도 시흥시청,시흥경찰서,Y,1,9,2026-04-01,
어린이집,하늘채어린이집,경기도 시흥시 군서로54번길 18(정왕동),경기도 시흥시 정왕동 1184,37.3476608,126.7477068,경기도 시흥시청,시흥경찰서,Y,1,8,2026-04-01,
어린이집,새예솔어린이집,경기도 시흥시 봉우순환로 117-7(정왕동),경기도 시흥시 정왕동 2245-3,37.3572422,126.7519542,경기도 시흥시청,시흥경찰서,Y,1,6,2026-04-01,
