기관명,분류,종별,주소,좌표X,좌표Y,전화번호,출처
주택단지,놀이체험시설,시화 주공6단지 어린이 놀이터(611동),경기도 시흥시 정왕동 1787-1번지 주공6단지아파트,126.7415614749,37.3408341869,,경기데이터드림
주택단지,놀이체험시설,건영5차아파트 어린이 놀이터(501동옆),경기도 시흥시 정왕동 1788-1번지 건영5차아파트,126.7416120757,37.3425381002,,경기데이터드림
주택단지,놀이체험시설,건영5차아파트 어린이 놀이터(507동옆),경기도 시흥시 정왕동 1788-1번지 건영5차아파트,126.7416120757,37.3425381002,,경기데이터드림
주택단지,놀이체험시설,시화대우아파트 어린이 놀이터,경기도 시흥시 정왕동 1788-3번지 대우아파트,126.7441731991,37.341571998,,경기데이터드림
주택단지,놀이체험시설,시화금강아파트 어린이 놀이터105동앞,경기도 시흥시 정왕동 1789번지 금강아파트,126.7381461308,37.3436605693,,경기데이터드림
주택단지,놀이체험시설,시화금강아파트 어린이 놀이터115동옆,경기도 시흥시 정왕동 1789번지 금강아파트,126.7381461308,37.3436605693,,경기데이터드림
주택단지,놀이체험시설,영남6단지 어린이 놀이시설(615동 앞),경기도 시흥시 정왕동 1790번지 영남6차아파트,126.7395360943,37.341289897,,경기데이터드림
주택단지,놀이체험시설,영남6단지 어린이 놀이시설(611동 앞),경기도 시흥시 정왕동 1790번지 영남6차아파트,126.7395360943,37.341289897,,경기데이터드림
주택단지,놀이체험시설,영남6단지 어린이 놀이시설(관리동 앞),경기도 시흥시 정왕동 1790번지 영남6차아파트,126.7395360943,37.341289897,,경기데이터드림
아동복지시설,놀이체험시설,2호 숨쉬는놀이터,경기도 시흥시 정왕대로233번길 33,126.7409551582,37.3483567321,,경기데이터드림
육아종합지원센터,놀이체험시설,경기도 시흥시 육아종합지원센터,경기도 시흥시 정왕대로233번길 37,126.7418035173,37.3481999263,,경기데이터드림
어린이집,놀이체험시설,열린자리어린이집 놀이터,경기도 시흥시 정왕대로233번길 27,126.7408069948,37.3473732893,,경기데이터드림
도시공원,놀이체험시설,연못공원 어린이 놀이시설,경기도 시흥시 정왕동 1825-2번지,126.7447025946,37.3484450993,,경기데이터드림
어린이집,놀이체험시설,시화병원 어린이집 놀이시설,경기도 시흥시 군자천로 381,126.7370103825,37.3499087489,,경기데이터드림
