정류장아이디,정류장명,Y좌표,X좌표,GPSX좌표,GPSY좌표,링크아이디,정류장유형,환승정류장유무,중앙차로여부,정류장영문명,ARS아이디,기관코드,데이터표출유무,등록아이디,등록일자,비고,표지판유형,행정동코드,권역코드,사용구분,정류장중국어명,정류장일본어명,정류장베트남명,DRT유무,정류장유형명,환승역타입명,표지판유형명
217000226,동명아파트앞,183185.0605400000,426121.2089100000,,,2170041400,1000,N,N,Dongmyeong Apartment ,18208,4127300000,Y,ckdejr12 ,2014-03-25 00:00:00.0,,2,4127360000,217,Y,？明公寓前,トンミョンアパ？ト前,Tr？？c chung c？ Dongmyeong,N,시내,일반,쉘터
217000228,강서고등학교,183810.4079700000,425807.7739300000,,,2170031300,1000,N,N,Gangseo High School ,18259,4127300000,Y,ckdejr12 ,2014-03-25 00:00:00.0,,2,4127351000,217,Y,江西高中,カンソ高等？校,Tr？？ng c？p ba Gangseo ,N,시내,일반,쉘터
217000230,융보아트빌라,184417.0000000000,425569.0000000000,,,2170031400,1000,N,N,Yungbo Arts Villa,18295,4127300000,Y,ckdejr12 ,2014-03-25 00:00:00.0,,2,4127351000,217,Y,融？雅特？元？,ユンボア？トヴィラ,Khu nha ？ Yungbo Art Villa,N,시내,일반,쉘터
217000232,올림픽기념관,184620.0000000000,425022.0000000000,,,2170106800,1000,N,N,Olympic Museum ,18309,4127300000,Y,ckdejr12 ,2014-03-25 00:00:00.0,,2,4127352500,217,Y,？林匹克？念？,オリンピック記念館, trung tam Olympic,N,시내,일반,쉘터
217000235,안산시청,185020.4296900000,424371.3488000000,,,2170083200,1000,N,N,Ansan City Hall,18327,4127300000,Y,,2016-07-07 00:00:00.0,,2,4127352500,217,Y,安山市？,安山市？,Toa th？ chinh Ansan,N,시내,일반,쉘터
217000236,중앙주공5단지,185328.1099300000,424351.1790600000,,,2170053900,1000,N,N,Jungang Jugong Apartment 5-danji,18337,4127300000,Y,,2016-07-07 00:00:00.0,,2,4127352500,217,Y,中央住公5？,チュンアン住公5？地,Khu t？ h？p Jungang jugong 5,N,시내,일반,쉘터
217000238,동의당약국사거리,184110.3190700000,427048.8273500000,,,2170094500,1000,N,N,Dongeuidang Pharmacy Sageori,18278,4127300000,Y,ckdejr12 ,2014-03-25 00:00:00.0,,2,4127351000,217,Y,同？堂？店十字路口,トンウィダン？局サゴリ(十字路),Nga t？ hi？u thu？c đong Y đ？？ng,N,시내,일반,쉘터
217000240,화정7교,183980.6632700000,427341.2620600000,,,2170094700,1000,N,N,Hwajeong 7-gyo Bridge,18269,4127300000,Y,ckdejr12 ,2014-03-25 00:00:00.0,,2,4127351000,217,Y,化井7？,ファジョン7橋,C？u Hwajeong-gyo 7,N,시내,일반,쉘터
217000242,체육공원사거리,183858.0000000000,426776.0000000000,,,2170095100,1000,N,N,Sports Park Sageori ,18260,4127300000,Y,ckdejr12 ,2014-03-25 00:00:00.0,,2,4127351000,217,Y,？育公？十字路口,？育公園サゴリ(十字路),Nga t？ ong vien th？ thao,N,시내,일반,쉘터
217000244,화정초등학교앞,183860.7066300000,427128.2405700000,,,2170042100,1000,N,N,Hwajung Elementary School,18262,4127300000,Y,,2018-06-08 00:00:00.0,,2,4127351000,217,Y,化井小？前,ファジョン小？校前,Tr？？c tr？？ng ti？u h？c Hwajeong,N,시내,일반,쉘터
218000526,용두2리,190244.3018500000,458398.0242900000,,,2180003600,0000,,N,Yongdu 2-ri,19542,4128100000,Y,smchoi,2012-05-17 00:00:00.0,,0,4128158000,218,Y,？？2里,ヨンドゥ2リ,Yongdu-ri 2,N,미지정,,표지판 없음
218000527,물구리,188091.2772300000,464186.6901300000,3740.7993000000,12651.9400000000,2180152200,0100,N,N,Mulguri,19056,4128100000,Y,smchoi,2023-05-09 00:00:00.0,,1,4128152000,218,Y,勿九里,ムルグリ,Mulgu-ri ,N,마을,일반,표지판 있음
218000529,도래울7단지,188668.5543700000,457958.5292800000,12652.3430000000,3737.4320000000,2180117600,1100,N,N,Doraeul 7-danji,19660,4128100000,Y,smchoi,2023-04-17 00:00:00.0,,1,4128153000,218,Y,多？蔚7？,トレウル7？地,Khu t？ h？p Doraeul 7,N,"시내,마을",일반,표지판 있음
231000815,대갈리하갈,222003.4862200000,395943.8940300000,,,2310075500,1000,N,N,Daegal-ri Hagal,33704,4155000000,Y,ckdejr12 ,2014-04-11 00:00:00.0,,0,4155042000,231,Y,大葛里下葛,テガルリハガル,Daegal-ri. Hagal,N,시내,일반,표지판 없음
231000816,호동입구,222120.0000000000,397285.0000000000,,,2310075000,1000,N,N,Ho-dong,33635,4155000000,Y,ckdejr12 ,2014-04-11 00:00:00.0,,0,4155042000,231,Y,虎洞入口,ホドン入口,L？i vao Hodong,N,시내,일반,표지판 없음
231000817,호동입구,222110.0000000000,397286.0000000000,,,2310147700,1000,N,N,Ho-dong,33519,4155000000,Y,ckdejr12 ,2014-04-11 00:00:00.0,,0,4155042000,231,Y,虎洞入口,ホドン入口,L？i vao Hodong,N,시내,일반,표지판 없음
231000818,명덕초등학교,223253.7636600000,394367.2553500000,,,2310080800,1000,N,N,Myongduk Elementary School,33531,4155000000,Y,ckdejr12 ,2014-04-11 00:00:00.0,,0,4155035000,231,Y,明德小？,ミョンドク小？校,Tr？？ng ti？u h？c Myongduk,N,시내,일반,표지판 없음
