sigun_nm,str_nm,bizregno,refine_road_nm_addr,refine_lotno_addr,indutype_cont,refine_zipno,refine_wgs84_lat,refine_wgs84_logt
시흥시,난족발넌보쌈,8932201188,경기도 시흥시 비둘기공원6길 16,"경기도 시흥시 대야동 538번지 106호,107호","족발·보쌈,프랜차이즈",14912,37.4424717,126.7909099
시흥시,고백(GOBAKE),8795300339,경기도 시흥시 목감둘레로 253-24,경기도 시흥시 조남동 707-1번지 이지움더테라스 1층 109호,카페,14986,37.3809727,126.860651
시흥시,베네파스타,2190869967,경기도 시흥시 서울대학로278번길 8,경기도 시흥시 배곧동 214번지 시흥배곧 아브뉴프랑 센트럴 레드 2층 217호,피자·양식,15011,37.3696799,126.7265668
시흥시,부르스터스 배곧신도시점,2221261385,경기도 시흥시 배곧4로 32-27,경기도 시흥시 배곧동 131번지 광장프라자 1층 116호,"카페,프랜차이즈",15010,37.3776954,126.7255471
시흥시,희래등 중화요리,8660600867,경기도 시흥시 중심상가2길 20-13,경기도 시흥시 정왕동 1738-5번지 KT공영주차장 104호,중식,15066,37.3443943,126.7373145
시흥시,24시 교동짬뽕,7995900243,경기도 시흥시 정왕천로 405-1,경기도 시흥시 정왕동 1196-3번지 1층,중식,15052,37.344107,126.7516103
시흥시,설빙 배곧점,1863900508,경기도 시흥시 서울대학로278번길 61,경기도 시흥시 배곧동 204번지 1층,"카페,프랜차이즈",15011,37.3681926,126.7306929
시흥시,초이스피자,1400353072,경기도 시흥시 정왕천로411번길 18,경기도 시흥시 정왕동 1192-6번지 1층,피자·양식,15052,37.34529,126.7505373
시흥시,처갓집양념치킨 월곶점,2680100938,경기도 시흥시 월곶중앙로 38,경기도 시흥시 월곶동 995-1번지 마린월드 128호,치킨,14966,37.3880373,126.741346
시흥시,아구나라 양푼이찌개,4321000977,경기도 시흥시 마유로 226,경기도 시흥시 정왕동 1366-14번지 파인힐오피스텔 1층 115호,찜·탕,15079,37.3376764,126.7285659
