시설명,소재지지번주소,주변상세설명,관리부서명,데이터기준일자
평촌공원,경기도 안양시 동안구 관양동 1589-2,화장실 입구,안양시청 ,20250304
평촌공원,경기도 안양시 동안구 관양동 1589-2,사무실 입구,안양시청 ,20250304
호계공원,경기도 안양시 동안구 호계동 176-4,광장입구,안양시청 ,20250304
호계공원,경기도 안양시 동안구 호계동 176-4,테니스장입구,안양시청 ,20250304
삼막애견공원,경기도 안양시 만안구 석수동 18,삼막애견공원 내,안양시청 ,20250304
생태예술공원,경기도 안양시 만안구 석수동 산24-24,수목원입구,안양시청 ,20250304
삼덕공원,경기도 안양시 만안구 안양동 782-19,관리소 앞,안양시청 ,20250304
공원,경기도 양주시 옥정동 908,선돌공원,양주시청,20241231
공원,경기도 양주시 덕계동 467,덕계근린공원,양주시청,20241231
공원,경기도 양주시 광사동 659,하늘물근린공원,양주시청,20241231
공원,경기도 양주시 덕정동 208-12,봉우근린공원,양주시청,20241231
공원,경기도 양주시 옥정동 970-3 일원,옥정중앙공원~회천4동 산책로,양주시청,20241231
공원,경기도 양주시 옥정동 889,"독바위공원(반려견놀이터 앞, 야외무대)",양주시청,20241231
영월근린공원,여주시 상동 132,영월근린공원 화장실 인근,여주시청,20250307
달팽이공원1,여주시 현암동 622-5,달팽이공원 화장실 인근,여주시청,20250307
강천섬2,여주시 강천면 강천리 627,강천섬 화장실 인근,여주시청,20250307
강천섬1,여주시 강천면 강천리 645,강천섬 주차장 인근,여주시청,20250307
신륵사,여주시 천송동 297-1,신륵사 입구 관광안내소 인근,여주시청,20250307
오학걷고싶은거리3,여주시 천송동 574-4,오학동 스타벅스 뒤편 산책로,여주시청,20250307
오학걷고싶은거리2,여주시 현암동 223-3,오학동행정복지센터 맞은편 현수막게시대 인근,여주시청,20250307
오학걷고싶은거리1,여주시 현암동 637-136,여주수상센터 안내간판 인근,여주시청,20250307
달팽이공원2,여주시 현암동 627-1,달팽이언덕 비석 인근,여주시청,20250307
여주근린공원,여주시 상동 352,여주근린공원 내,여주시청,20250307
은빛개울1공원,경기도 오산시 세교동 622-2,세교1단지 103동 근처,오산시청,20250228
아래뜰공원,경기도 오산시 수청동 623-3,월남참전기념탑 근처,오산시청,20250228
오산어린이공원,경기도 오산시 오산동 852-11,오산어린이공원 입구,오산시청,20250228
문헌공원,경기도 오산시 내삼미동 879,문헌공원 공원관리사 앞,오산시청,20250228
부산제2어린이공원,경기도 오산시 부산동 792,부산제2어린이공원 조합놀이대 근처,오산시청,20250228
맑음터공원1,경기도 오산시 오산동 750-1,맑음터공원 광장 ,오산시청,20250228
맑음터공원2,경기도 오산시 오산동 750-1,온마을목공체험장 옆,오산시청,20250228
궐동제3어린이공원,경기도 오산시 궐동 624,궐동제3어린이공원 입구,오산시청,20250228
궐동제4어린이공원,경기도 오산시 궐동 660,궐동제4어린이공원 입구,오산시청,20250228
궐동제5어린이공원,경기도 오산시 궐동 656,궐동제5어린이공원 입구,오산시청,20250228
궐동제7어린이공원,경기도 오산시 궐동 706,궐동제7어린이공원 입구,오산시청,20250228
고인돌공원1,경기도 오산시 금암동 520,고인돌공원 야외무대 쪽,오산시청,20250228
고인돌공원2,경기도 오산시 금암동 520,고인돌공원 장미뜨레 앞,오산시청,20250228
죽미체육공원1,경기도 오산시 세교동 627 ,죽미체육공원 광장쪽,오산시청,20250228
죽미체육공원2,경기도 오산시 세교동 627 ,죽미체육공원 다목적체육관 근처,오산시청,20250228
은빛개울1공원,경기도 오산시 세교동 622-2,세교2단지 201동 근처,오산시청,20250228
은빛개울1공원,경기도 오산시 세교동 184-1,세교 롯데프레시 근처,오산시청,20250228
은빛개울2공원,경기도 오산시 수청동 581-1,세교 13단지 올라가는 계단 옆,오산시청,20250228
은빛개울2공원,경기도 오산시 금암동 511,은빛개울2공원 ,오산시청,20250228
필봉공원,경기도 오산시 내삼미동 899-3,필봉공원 화장실 앞,오산시청,20250228
왕송호수공원,의왕시 초평동 278-1,레일바이크 중간정차장 왕송호수공원 반려견 놀이터 내 ,의왕시청,20250307
진암공원,경기도 이천시 장호원읍 진암리 100-1,진암공원 반려견 놀이터,이천시청,20250307
진암공원,경기도 이천시 장호원읍 진암리 100-1,진암공원 반려견 놀이터,이천시청,20250307
운정수변공원1,경기도 파주시 와동동 1415,석가산 인근,파주시청,20250307
운정호수공원6,경기도 파주시 와동동 1412,센트럴파크프라자 인근,파주시청,20250307
운정건강공원,경기도 파주시 목동동 1083,가온초등학교 인근,파주시청,20250307
운정수변공원3,경기도 파주시 와동동 1418,물순환시스템 건물 주변,파주시청,20250307
운정수변공원2,경기도 파주시 와동동 1418,소리천카페 인근,파주시청,20250307
운정호수공원5,경기도 파주시 와동동 1412,센트럴파크프라자와 심학산로 사이 인근,파주시청,20250307
운정호수공원4,경기도 파주시 와동동 1412,해솔마을7단지와 용정저수지 사이 인근,파주시청,20250307
운정호수공원3,경기도 파주시 와동동 1412,운정호수공원주차장1과 관리사업소 인근,파주시청,20250307
운정호수공원2,경기도 파주시 와동동 1412,한빛마을5단지와 용정저수지 사이 인근,파주시청,20250307
운정호수공원1,경기도 파주시 와동동 1412,와동조정지과 용정저수지 사이 인근,파주시청,20250307
가재울공원2,경기도 파주시 목동동 820,목동동 825-1번지 반대편,파주시청,20250307
가재울공원1,경기도 파주시 목동동 993,목동동 992번지 뒤편 잔디광장 인근,파주시청,20250307
모두마루,경기도 평택시 오성면 청오로 33-58,농업생태원,평택시청,20250304
이충 반려견 동반 시민쉼터,경기도 평택시 장안웃길 149,이충레포츠 공원,평택시청,20250304
동삭 반려견 동반 시민쉼터,경기도 평택시 동삭동 850-3,동삭1저류지,평택시청,20250304
신당 반려견 동반 시민쉼터,경기도 평택시 평택항로 98,신당근린공원,평택시청,20250304
서부 반려견 동반 시민쉼터,경기도 평택시 서해안로 1528-18,서부공설운동장,평택시청,20250304
신장 반려견 동반 시민쉼터,경기도 평택시 신장로 124,송탄국제교류센터 ,평택시청,20250304
안정근린공원,경기도 평택시 팽성읍 안정순환로267번길 42,안정근린공원,평택시청,20250304
 풍산 근린2호 공원,경기도 하남시 덕풍동 776,,하남시청,20250307
 풍산 근린1호 공원 ,경기도 하남시 덕풍동 732,,하남시청,20250307
 신장지구 완충녹지 8호,경기도 하남시 창우동 531,,하남시청,20250307
 창우 근린 공원 ,경기도 하남시 창우동 521-4,,하남시청,20250307
 연결녹지24,경기도 하남시 망월동 1139,,하남시청,20250307
 실바람 공원 ,경기도 하남시 덕풍동 882,,하남시청,20250307
 방탱이 공원 ,경기도 하남시 덕풍동 855,,하남시청,20250307
 미사 한강4호 공원,경기도 하남시 선동 421-1,,하남시청,20250307
 미사 숲 공원 ,경기도 하남시 풍산동 537,,하남시청,20250307
 미사 호수 공원,"경기도 하남시 망월동 1076,1073,1072",,하남시청,20250307
 미사 누리2호 공원 ,경기도 하남시 망월동 955,,하남시청,20250307
 미사 누리1호 공원,경기도 하남시 망월동 838,,하남시청,20250307
 미사 한강5호 공원 ,경기도 하남시 망월동 832,,하남시청,20250307
 미사 한강2호 공원 ,경기도 하남시 선동 417,,하남시청,20250307
 미사 한강3호 공원,경기도 하남시 선동 421,,하남시청,20250307
 덕풍 근린 공원,경기도 하남시 덕풍동 435-202,,하남시청,20250307
 문화소공원 ,경기도 하남시 신장동 575,,하남시청,20250307
 국제 자매 도시 공원 ,경기도 하남시 신장동 608,,하남시청,20250307
 현안2부지 수변 공원2 ,경기도 하남시 신장동 606-1,,하남시청,20250307
 현안2부지 수변 공원1 ,경기도 하남시 신장동 596-1,,하남시청,20250307
 세미 근린 공원 ,경기도 하남시 풍산동 623,,하남시청,20250307
 미사 한강1호 공원,경기도 하남시 선동 413,,하남시청,20250307
 풍산지구 어린이4호 공원,경기도 하남시 덕풍동 770-2,,하남시청,20250307
 풍산 근린4호 공원 ,경기도 하남시 덕풍동 824,,하남시청,20250307
 풍산 근린3호 공원,경기도 하남시 덕풍동 726-12,,하남시청,20250307

